Time (s),Channel 1 (V),Channel 2 (V),Id
1.81046875,-0.379317047,-0.001009947,-1.00995E-06
1.81109375,-0.377982352,-0.001009947,-1.00995E-06
1.81171875,-0.376647658,-0.001009947,-1.00995E-06
1.81234375,-0.375312964,-0.001009947,-1.00995E-06
1.81296875,-0.37397827,-0.001009947,-1.00995E-06
1.81359375,-0.372977249,-0.001009947,-1.00995E-06
1.81421875,-0.371642555,-0.001009947,-1.00995E-06
1.81484375,-0.369974187,-0.001009947,-1.00995E-06
1.81546875,-0.36930684,-0.001009947,-1.00995E-06
1.81609375,-0.367638472,-0.001009947,-1.00995E-06
1.81671875,-0.366303777,-0.001009947,-1.00995E-06
1.81734375,-0.365302757,-0.001009947,-1.00995E-06
1.81796875,-0.363968062,-0.001009947,-1.00995E-06
1.81859375,-0.362633368,-0.001009947,-1.00995E-06
1.81921875,-0.361632347,-0.001009947,-1.00995E-06
1.81984375,-0.360297653,-0.001009947,-1.00995E-06
1.82046875,-0.358962959,-0.001009947,-1.00995E-06
1.82109375,-0.357628265,-0.001009947,-1.00995E-06
1.82171875,-0.35629357,-0.001009947,-1.00995E-06
1.82234375,-0.354958876,-0.001009947,-1.00995E-06
1.82296875,-0.353957855,-0.001009947,-1.00995E-06
1.82359375,-0.352956835,-0.001009947,-1.00995E-06
1.82421875,-0.35162214,-0.001009947,-1.00995E-06
1.82484375,-0.350287446,-0.001009947,-1.00995E-06
1.82546875,-0.349286425,-0.001009947,-1.00995E-06
1.82609375,-0.347951731,-0.001009947,-1.00995E-06
1.82671875,-0.346617037,-0.001009947,-1.00995E-06
1.82734375,-0.345616016,-0.001009947,-1.00995E-06
1.82796875,-0.344281322,-0.001346084,-1.34608E-06
1.82859375,-0.342946627,-0.001009947,-1.00995E-06
1.82921875,-0.341611933,-0.001346084,-1.34608E-06
1.82984375,-0.340277239,-0.001346084,-1.34608E-06
1.83046875,-0.338942545,-0.001346084,-1.34608E-06
1.83109375,-0.33760785,-0.001346084,-1.34608E-06
1.83171875,-0.336273156,-0.001346084,-1.34608E-06
1.83234375,-0.335272135,-0.001009947,-1.00995E-06
1.83296875,-0.333937441,-0.001009947,-1.00995E-06
1.83359375,-0.33293642,-0.001009947,-1.00995E-06
1.83421875,-0.331601726,-0.001346084,-1.34608E-06
1.83484375,-0.330267032,-0.001009947,-1.00995E-06
1.83546875,-0.329266011,-0.001009947,-1.00995E-06
1.83609375,-0.327597643,-0.001009947,-1.00995E-06
1.83671875,-0.326596622,-0.001009947,-1.00995E-06
1.83734375,-0.325595602,-0.001009947,-1.00995E-06
1.83796875,-0.324260907,-0.001009947,-1.00995E-06
1.83859375,-0.32259254,-0.001009947,-1.00995E-06
1.83921875,-0.321591519,-0.001009947,-1.00995E-06
1.83984375,-0.320256825,-0.001009947,-1.00995E-06
1.84046875,-0.31892213,-0.001009947,-1.00995E-06
1.84109375,-0.317587436,-0.001009947,-1.00995E-06
1.84171875,-0.316252742,-0.001009947,-1.00995E-06
1.84234375,-0.315251721,-0.001009947,-1.00995E-06
1.84296875,-0.313917027,-0.001009947,-1.00995E-06
1.84359375,-0.312582332,-0.001009947,-1.00995E-06
1.84421875,-0.311914985,-0.001009947,-1.00995E-06
1.84484375,-0.310913965,-0.001009947,-1.00995E-06
1.84546875,-0.30957927,-0.001009947,-1.00995E-06
1.84609375,-0.308244576,-0.001009947,-1.00995E-06
1.84671875,-0.307243555,-0.001009947,-1.00995E-06
1.84734375,-0.305908861,-0.001009947,-1.00995E-06
1.84796875,-0.304240493,-0.001009947,-1.00995E-06
1.84859375,-0.303239472,-0.001009947,-1.00995E-06
1.84921875,-0.301904778,-0.001009947,-1.00995E-06
1.84984375,-0.300903757,-0.001346084,-1.34608E-06
1.85046875,-0.299569063,-0.001346084,-1.34608E-06
1.85109375,-0.297900695,-0.001009947,-1.00995E-06
1.85171875,-0.296899675,-0.001009947,-1.00995E-06
1.85234375,-0.29556498,-0.001009947,-1.00995E-06
1.85296875,-0.294230286,-0.001009947,-1.00995E-06
1.85359375,-0.293229265,-0.001009947,-1.00995E-06
1.85421875,-0.291894571,-0.001009947,-1.00995E-06
1.85484375,-0.290559877,-0.001009947,-1.00995E-06
1.85546875,-0.289558856,-0.001009947,-1.00995E-06
1.85609375,-0.287890488,-0.001009947,-1.00995E-06
1.85671875,-0.286889467,-0.001009947,-1.00995E-06
1.85734375,-0.285554773,-0.001009947,-1.00995E-06
1.85796875,-0.284220079,-0.001009947,-1.00995E-06
1.85859375,-0.283219058,-0.001009947,-1.00995E-06
1.85921875,-0.281884364,-0.001009947,-1.00995E-06
1.85984375,-0.28054967,-0.001009947,-1.00995E-06
1.86046875,-0.279214975,-0.001009947,-1.00995E-06
1.86109375,-0.277880281,-0.001009947,-1.00995E-06
1.86171875,-0.27687926,-0.001009947,-1.00995E-06
1.86234375,-0.275544566,-0.001009947,-1.00995E-06
1.86296875,-0.274209872,-0.001009947,-1.00995E-06
1.86359375,-0.272875177,-0.001009947,-1.00995E-06
1.86421875,-0.271540483,-0.001009947,-1.00995E-06
1.86484375,-0.270205789,-0.001009947,-1.00995E-06
1.86546875,-0.269204768,-0.001009947,-1.00995E-06
1.86609375,-0.267870074,-0.001009947,-1.00995E-06
1.86671875,-0.266869053,-0.001009947,-1.00995E-06
1.86734375,-0.265534359,-0.001009947,-1.00995E-06
1.86796875,-0.264199665,-0.001009947,-1.00995E-06
1.86859375,-0.263198644,-0.001009947,-1.00995E-06
1.86921875,-0.26186395,-0.001009947,-1.00995E-06
1.86984375,-0.260529255,-0.001009947,-1.00995E-06
1.87046875,-0.259194561,-0.001009947,-1.00995E-06
1.87109375,-0.257859867,-0.001009947,-1.00995E-06
1.87171875,-0.256858846,-0.001009947,-1.00995E-06
1.87234375,-0.255524152,-0.001009947,-1.00995E-06
1.87296875,-0.254189457,-0.001009947,-1.00995E-06
1.87359375,-0.252854763,-0.001009947,-1.00995E-06
1.87421875,-0.251853742,-0.001009947,-1.00995E-06
1.87484375,-0.250185374,-0.001009947,-1.00995E-06
1.87546875,-0.249184354,-0.001009947,-1.00995E-06
1.87609375,-0.247849659,-0.001009947,-1.00995E-06
1.87671875,-0.246848639,-0.001009947,-1.00995E-06
1.87734375,-0.245513944,-0.001009947,-1.00995E-06
1.87796875,-0.24417925,-0.001009947,-1.00995E-06
1.87859375,-0.242844556,-0.001009947,-1.00995E-06
1.87921875,-0.241843535,-0.001009947,-1.00995E-06
1.87984375,-0.240175167,-0.001009947,-1.00995E-06
1.88046875,-0.239174147,-0.001009947,-1.00995E-06
1.88109375,-0.237839452,-0.001009947,-1.00995E-06
1.88171875,-0.236504758,-0.001009947,-1.00995E-06
1.88234375,-0.235170064,-0.001009947,-1.00995E-06
1.88296875,-0.233835369,-0.001009947,-1.00995E-06
1.88359375,-0.232834349,-0.001009947,-1.00995E-06
1.88421875,-0.231165981,-0.001009947,-1.00995E-06
1.88484375,-0.229831287,-0.001009947,-1.00995E-06
1.88546875,-0.228830266,-0.00067381,-6.7381E-07
